[00:00.00 - 00:01.68] 有了前六次的训练基础
[00:01.68 - 00:03.60] 我们现在来分析偏新的论文
[00:03.60 - 00:06.80] 这篇论文同样在作业区域提供了下载链接
[00:06.80 - 00:09.78] 它的偏符明显要长于上一篇范文的偏符
[00:09.78 - 00:12.90] 这个偏符也是你们会经常见到的论文偏符
[00:12.90 - 00:14.44] 所以我们再来分析一下
[00:14.44 - 00:16.56] 先来分析标题中的地灵上位
[00:16.56 - 00:18.48] 基于高保水凝交电截至
[00:18.48 - 00:20.50] 与反应条结记构主的高能效
[00:20.50 - 00:22.80] 长受命可充电新空气电池
[00:22.80 - 00:24.36] 根据第一次的训练内容
[00:24.36 - 00:26.52] 应该可以比较轻松的判断出来
[00:26.52 - 00:29.16] 地灵上位就是可充电新空气电池
[00:29.16 - 00:30.52] 我看大部分同学
[00:30.52 - 00:33.10] 已经能够准确识别标题中的地灵上位
[00:33.10 - 00:34.86] 因此这里就不再展开了
[00:34.86 - 00:36.62] 如果识别有困难的同学
[00:36.62 - 00:39.94] 可以重点看第一集视频和第一集视频的补充音
[00:39.94 - 00:42.04] 可充电新空气电池的第一上位
[00:42.04 - 00:43.28] 是可充电电池
[00:43.28 - 00:45.88] 你也可以克利度划分的更细一些
[00:45.88 - 00:48.20] 那么第一上位是可充电新电池
[00:48.20 - 00:50.10] 第二上位是可充电电池
[00:50.10 - 00:52.02] 这个没有标准答案一说的
[00:52.02 - 00:53.66] 你继续往后看就知道了
[00:53.66 - 00:56.08] 所以稍微做的有点出入也没关系的
[00:56.08 - 00:57.50] 我这里采用地灵上位的
[00:57.50 - 00:58.90] 可充电新空气电池
[00:58.90 - 01:01.30] 第一上位是可充电电池的方法
[01:01.30 - 01:02.08] 你会发现
[01:02.08 - 01:03.04] 隐言的第一句话
[01:03.04 - 01:04.28] 就是从第一上位
[01:04.28 - 01:06.56] 也就是可充电电池引出的
[01:06.56 - 01:08.90] 强调了可充电电池的广泛需求
[01:08.90 - 01:11.22] 目的是为了先利助可充放电池
[01:11.22 - 01:12.92] 一旦上位概念能力助
[01:12.92 - 01:15.58] 就可以继续去利助他的下位概念了
[01:15.58 - 01:16.76] 这里注意原则武
[01:16.76 - 01:18.82] 自子和你的研究有关联
[01:18.82 - 01:21.08] 其实这个原则是从第一句话开始
[01:21.08 - 01:22.44] 就要实课注意的
[01:22.44 - 01:23.64] 并不是说只有讲到
[01:23.64 - 01:25.32] 非常具体的文线点评部分
[01:25.32 - 01:27.24] 或者分析以有文线的竞展
[01:27.24 - 01:28.04] 和不足部分
[01:28.04 - 01:30.32] 才需要考虑和你的研究工作关联
[01:30.32 - 01:32.12] 好的论文甚至在一开始
[01:32.12 - 01:33.02] 讲背景的时候
[01:33.02 - 01:35.40] 就会和你的研究工作关联起来
[01:35.40 - 01:37.38] 哪怕是研究背景中的一个单词
[01:37.38 - 01:38.30] 一个词组
[01:38.30 - 01:40.36] 也不是无缘无故出现的
[01:40.36 - 01:41.08] 比如你会发现
[01:41.08 - 01:42.50] 这里作者提及的应用
[01:42.50 - 01:44.36] 是柔性和可充代器件
[01:44.36 - 01:45.44] 但是你会发现
[01:45.44 - 01:46.92] 我们分析的上一个范文
[01:46.92 - 01:49.04] 它第一句话也是讲可充电电池
[01:49.04 - 01:50.72] 也是为了也是先引出
[01:50.72 - 01:52.66] 并利助可充电电池这个概念
[01:52.66 - 01:55.18] 但是为什么应用是从大规模处能
[01:55.18 - 01:57.12] 电动车和消费电子讲起
[01:57.12 - 01:59.50] 这是因为作者在上一篇范文中
[01:59.50 - 02:02.54] 发展的电池就可以适用于以上三个研究领域
[02:03.02 - 02:04.28] 但是这一篇范文
[02:04.28 - 02:06.52] 你看了作者的研究结果就知道了
[02:06.52 - 02:08.14] 作者发展的新空气电池
[02:08.14 - 02:09.86] 其实针对的是柔性的
[02:09.86 - 02:11.50] 或者设计可穿代场景
[02:11.50 - 02:13.30] 所以它背景选取的应用
[02:13.30 - 02:14.26] 就是这种场景
[02:14.26 - 02:16.58] 如果你在无脑说大规模处能
[02:16.58 - 02:17.64] 电动车之类的
[02:17.64 - 02:19.50] 你会发现作者研究的电池
[02:19.50 - 02:21.10] 并不是分批配那个领域
[02:21.10 - 02:22.76] 所以到这里你可以看出
[02:22.76 - 02:24.12] 这个原则舞的字字
[02:24.12 - 02:25.50] 和你研究工作有关联
[02:25.50 - 02:27.84] 是从你写下标题的第一个词开始
[02:27.84 - 02:29.40] 一直到写完整篇论文
[02:29.40 - 02:31.88] 都要自始至终都要贯穿始终的
[02:31.88 - 02:32.96] 这里就可以解释
[02:32.96 - 02:35.48] 过去我再直到同学和老师写作中
[02:35.48 - 02:37.10] 遇到一个非常高评的问题
[02:37.10 - 02:38.12] 他们会认为
[02:38.12 - 02:40.12] 只要我讨论的研究对象一样
[02:40.12 - 02:41.92] 那么谁的范文我都可以参考
[02:41.92 - 02:43.84] 从这里你就会看出了
[02:43.84 - 02:44.96] 即使是同样的作者
[02:44.96 - 02:46.26] 讨论同样的对象
[02:46.26 - 02:48.52] 也就是此处分析的可充电电池
[02:48.52 - 02:50.48] 根据它具体研究工作的不同
[02:50.48 - 02:53.32] 其实它的讨论方法也会有区别的
[02:53.32 - 02:55.06] 所以并不是说只要范文中
[02:55.06 - 02:56.76] 讨论的研究对象跟你一样
[02:56.76 - 02:59.32] 你就可以无脑的负值它的文字素材了
[02:59.32 - 03:00.22] 并不是这样的
[03:00.22 - 03:02.88] 要看是否和你的具体研究工作内容
[03:02.88 - 03:04.02] 能够完美批配
[03:04.02 - 03:05.96] 下一句话明显就是引出
[03:05.96 - 03:07.80] 和利助标题中的电零上位
[03:07.80 - 03:09.84] 也就是可充电新空气电池
[03:09.84 - 03:11.32] 注意这里 rechargeable
[03:11.32 - 03:13.16] 可充电几个字省月了
[03:13.16 - 03:14.36] 这个我之前讲过
[03:14.36 - 03:16.92] 因为完整的电零上位一般是比较长的
[03:16.92 - 03:19.58] 所以如果每次都把它完完整整写出来
[03:19.58 - 03:20.80] 会显得有一些雷罪
[03:20.80 - 03:22.18] 所以有一些修饰
[03:22.18 - 03:24.42] 如果约定俗程大家都知道的话
[03:24.42 - 03:26.36] 就不会反复重复去说了
[03:26.36 - 03:28.64] 下一句话还是在讲新空气电池
[03:28.64 - 03:31.30] 但是讲的是柔性固台新空气电池
[03:31.30 - 03:34.48] 相当于在讲新空气电池的下位概念了
[03:34.48 - 03:35.50] 你可能会困火
[03:35.50 - 03:38.26] 大部分论文是讲到地零上位就结束的
[03:38.26 - 03:40.40] 并不会再讲地零上位的下位概念
[03:40.40 - 03:43.08] 如果要继续讲地零上位的下位概念
[03:43.08 - 03:46.56] 那为什么不直接把这个下位概念变成地零上位呢
[03:46.56 - 03:49.62] 我发现有些同学做的作业也呈现这个特征
[03:49.62 - 03:51.58] 假如下次你遇到这样的情况
[03:51.58 - 03:53.04] 你可以做这么一个分析
[03:53.04 - 03:54.18] 你可以看一看
[03:54.18 - 03:56.50] 先前你在标题中提取的地零上位
[03:56.50 - 03:58.86] 比如本文中的可充电新空气电池
[03:58.86 - 04:00.98] 相比这个地零上位的下位概念
[04:00.98 - 04:04.16] 比如本文中的柔性固态可充电新空气电池而言
[04:04.16 - 04:07.64] 是不是反而后者更能精准描述了作者的具体研究对象
[04:07.64 - 04:09.28] 你看了这个图就知道了
[04:09.28 - 04:12.02] 作者真正做的不是龙统的新空气电池
[04:12.02 - 04:14.38] 而就是柔性固台新空气电池
[04:14.38 - 04:15.48] 那么你会想
[04:15.48 - 04:19.14] 他为什么不在标题的可充电新空气电池前面
[04:19.14 - 04:20.86] 放上Flexible Solid State
[04:20.86 - 04:22.32] 柔性固态这个词组
[04:22.32 - 04:26.00] 主要是作者这里发展的方法是具有相当普世性的
[04:26.00 - 04:28.50] 在整个可充电新空气中都可以用
[04:28.50 - 04:30.18] 不只是在柔性固态领域
[04:30.18 - 04:33.70] 所以如果加上柔性固态会显得格局有些小
[04:33.70 - 04:37.06] 所以在标题的可充电新空气电池前面
[04:37.06 - 04:38.76] 作者并没有额外去修饰
[04:38.76 - 04:42.16] 所以你如果一定要套上地零上位这个概念的话
[04:42.16 - 04:43.64] 下次你遇到这种情况
[04:43.64 - 04:45.62] 在提交自己作业的时候
[04:45.62 - 04:47.64] 你可以把这个标题的地零上位
[04:47.64 - 04:48.60] 识别成比如
[04:48.60 - 04:51.16] 柔性固态可充电新空气电池
[04:51.16 - 04:52.36] 扩好中的内容
[04:52.36 - 04:53.68] 就是你看了后文
[04:53.68 - 04:57.36] 根据作者的研究对象自己总结出的作者省月的内容
[04:57.36 - 04:59.06] 此外你注意标题
[04:59.06 - 05:02.34] 作者的这个新空气电池用的是JL Electrite
[05:02.34 - 05:03.38] 您交电解制
[05:03.38 - 05:04.98] 所以从这里也能发现
[05:04.98 - 05:07.52] 其实就是柔性固态新空气电池
[05:07.52 - 05:09.48] 所以作者这里不能龙统的
[05:09.48 - 05:12.14] 直把研究背景写到新空气电池就结束
[05:12.14 - 05:14.82] 他还得把这个您交电解制作一个铺电
[05:14.82 - 05:17.78] 否则一旦写到后文突然出现您交电解制
[05:17.78 - 05:19.44] 别人就不太理解了
[05:19.44 - 05:21.42] 怎么突然冒出来您交电解制了
[05:21.42 - 05:24.02] 他这里引出柔性固态新空气电池
[05:24.02 - 05:26.54] 这样独者在后文看到您交电解制
[05:26.54 - 05:28.00] 不至于感觉太突悟
[05:28.52 - 05:31.80] 所以这就给你提供了另一个角度分析前眼的脉络
[05:32.20 - 05:34.64] 如果你发现作者蒋文地零上位之后
[05:34.64 - 05:36.08] 又引出了其他概念
[05:36.08 - 05:38.04] 比如像这里的柔性固态
[05:38.04 - 05:41.56] 你就要考虑是不是在观脸标题中的其他词组了
[05:41.56 - 05:42.44] 比无这个范文中
[05:42.44 - 05:45.68] 就是要观脸标题中的JL Electrite您交电解制
[05:45.68 - 05:48.44] 所以这里还是符合原则一的具具指向标题
[05:48.44 - 05:50.22] 一些标题比较长的
[05:50.22 - 05:52.94] 然后修饰地零上位词组比较多的标题
[05:52.94 - 05:54.08] 都有这样的特点
[05:54.08 - 05:56.54] 我在另一份作业中也发现这个特点
