[00:00.00 - 00:01.40] 上一集中我们提到
[00:01.40 - 00:03.60] 范文引出了地零上位中的概念
[00:03.60 - 00:04.94] 记心猛电池
[00:04.94 - 00:06.28] 然后也解释了
[00:06.28 - 00:07.24] 为什么范文中
[00:07.24 - 00:09.72] 正文首次出现涉及地零上位的表述
[00:09.72 - 00:11.78] 和标题中的地零上位并不是
[00:11.78 - 00:13.34] 百分之百完全疲佩的原因
[00:13.70 - 00:15.46] 并且还指出了地零上位
[00:15.46 - 00:16.44] 极心猛电池
[00:16.44 - 00:18.32] 目前还存在的相关问题
[00:18.32 - 00:20.04] 极问题产生的原因
[00:20.04 - 00:21.74] 这也是可以理解的
[00:21.74 - 00:23.16] 如果地零上位
[00:23.16 - 00:25.06] 也就是可冲放心猛电池
[00:25.06 - 00:26.06] 没有任何问题
[00:26.06 - 00:28.66] 那为什么你还要开展相关研究工作呢
[00:28.66 - 00:31.00] 所以肯定是存在一些问题的
[00:31.00 - 00:32.50] 我们继续启动原则气的
[00:32.50 - 00:33.26] 换位思考
[00:33.26 - 00:34.98] 当你说有问题的时候
[00:34.98 - 00:36.38] 别人会想什么呢
[00:36.38 - 00:37.14] 他们会想
[00:37.14 - 00:39.42] 全世界知道新猛电池问题的人
[00:39.42 - 00:40.66] 肯定不止你一个
[00:40.66 - 00:42.16] 有许多人
[00:42.16 - 00:44.56] 包括你在描述新猛电池问题的时候
[00:44.56 - 00:45.74] 也是应用的文件
[00:45.74 - 00:47.98] 就说明很多人都知道这个问题
[00:47.98 - 00:50.14] 那既然很多人都知道这个问题
[00:50.14 - 00:52.02] 别人也会想办法去解决
[00:52.02 - 00:53.60] 那独者或神告人
[00:53.60 - 00:54.38] 自然会关注
[00:54.38 - 00:56.50] 别人解决到什么程度了呢
[00:56.50 - 00:58.44] 只有知道别人解决到什么程度
[00:58.44 - 00:59.68] 才能知道你的工作
[00:59.68 - 01:01.26] 是不是比别人更进了一步
[01:01.26 - 01:04.06] 否则你的工作做得都不如别人
[01:04.06 - 01:06.22] 或者别人已经解决了相关问题
[01:06.22 - 01:08.26] 那为什么要让你发表呢
[01:08.26 - 01:09.62] 那么我们接著往下看
[01:09.62 - 01:11.92] 整个第三段还剩下三句话
[01:11.92 - 01:13.62] 当你看到第四句话的
[01:13.62 - 01:14.12] 好,Ever
[01:14.12 - 01:15.20] 第五句话的
