[00:00.00 - 00:03.20] 这次隐言的前四句话我们已经主义分析完毕
[00:03.20 - 00:07.52] 我们发现隐言在第一句话中引入了标题中的第三上位概念
[00:07.52 - 00:10.14] 在第三句话引入了第二上位概念
[00:10.54 - 00:13.56] 第二句话虽然没有提及标题中的上位概念
[00:13.56 - 00:16.24] 但是为引出第二上位概念做了铺点
[00:16.24 - 00:19.28] 第四句话同样是关于第二上位概念
[00:19.28 - 00:22.26] 同时我们也明白了写作的九大原则
[00:22.26 - 00:24.82] 接下来我们继续看第五句话
[00:24.82 - 00:26.14] 第五句话的开头
[00:26.14 - 00:29.18] 你看到 however就知道在讲另一件事
[00:29.18 - 00:31.06] 考虑前面讲的是水系电池
[00:31.06 - 00:35.06] 所以这里用了 however说明要讲水系电池目前存在的问题
[00:35.06 - 00:36.86] 我们继续看第五句话
[00:36.86 - 00:39.56] 果然之后提及了水系电池的应用
[00:39.56 - 00:41.56] 目前面临两大严重的挑战
[00:41.56 - 00:43.08] 通过这句话的表述
[00:43.08 - 00:46.02] 你能再次体会我在上一集中说的原则欺
[00:46.02 - 00:47.08] 换位思考
[00:47.08 - 00:49.74] 因为这句话涉及对水系电池批评
[00:49.74 - 00:50.66] 你要换位思考
[00:50.66 - 00:53.16] 如果神搞人中也有人做水系电池
[00:53.16 - 00:54.76] 那如果你批评不得当
[00:54.76 - 00:56.60] 对方听起来会很不舒服
[00:56.60 - 00:58.70] 所以这句话的表述比较违反
[00:58.70 - 01:00.66] 他说面临两大严重挑战
[01:00.66 - 01:02.98] 而不是像有的作者用词比较极端
[01:02.98 - 01:04.40] 但有一定的攻击性
[01:04.40 - 01:06.88] 比如说有两大严重缺限之类的
[01:06.88 - 01:08.68] 但范文中说的是两大挑战
[01:08.68 - 01:09.70] 这没啥毛病
[01:09.70 - 01:12.12] 因为即使现在广泛应用的理电池
[01:12.12 - 01:14.90] 在各行各业为了达到更好的应用效果
[01:14.90 - 01:16.24] 也有挑战需要克服
[01:16.24 - 01:17.50] 比如安全性
[01:17.50 - 01:18.70] 比如第一温性能
[01:18.70 - 01:20.22] 比如能量密度等等
[01:20.22 - 01:23.36] 何况是目前还没有被广泛使用的水系电池
[01:23.36 - 01:23.86] 支持
[01:23.86 - 01:24.90] 我们可以发现
[01:24.90 - 01:26.64] 前严中第三上位概念
[01:26.64 - 01:28.22] 也就是可充放电池
[01:28.22 - 01:29.40] 用了一句话交代
[01:29.40 - 01:30.60] 第二上位概念
[01:30.60 - 01:32.30] 即可充放水系电池
[01:32.30 - 01:33.62] 用了两句话交代
[01:33.62 - 01:35.16] 如果算上铺电的话
[01:35.16 - 01:36.60] 可以理解为三句话
[01:36.60 - 01:38.04] 都和第二上位概念有关
[01:38.04 - 01:39.82] 整体是一家三的配置
[01:39.82 - 01:42.30] 你们在作业中分析手头范本的时候
[01:42.30 - 01:44.18] 可以看一下你们手头的范本
[01:44.18 - 01:46.60] 到目前为止出现了几个上位概念
[01:46.60 - 01:48.52] 以及分别配置了几句话
[01:48.52 - 01:50.22] 下面的第六句和第七句话
[01:50.22 - 01:51.24] 我们可以一起分析
[01:51.24 - 01:53.04] 你看到First和Second
[01:53.04 - 01:55.28] 就知道这是针对第五句话的展开
[01:55.28 - 01:57.96] 分别讲了第五句话中提到的两个挑战
[01:57.96 - 02:01.00] 其实也就是目前水系电池存在的两个问题
[02:01.00 - 02:03.00] 这里同样要注意原则期的
[02:03.00 - 02:03.68] 换卫思考
[02:03.68 - 02:05.02] 因为你的神告人
[02:05.02 - 02:05.96] 你的读者中
[02:05.96 - 02:08.22] 很可能有人是做水系电池的
[02:08.22 - 02:10.84] 所以你指出水系电池的具体问题时
[02:10.84 - 02:12.58] 一定要确认有证据支撑
[02:12.58 - 02:13.96] 或者有事实支撑
[02:13.96 - 02:15.30] 不要信口开合
[02:15.30 - 02:17.16] 这里需要特别说明一下
[02:17.16 - 02:17.62] 注意
[02:17.62 - 02:19.48] 我说的证据或事实支撑
[02:19.48 - 02:21.68] 不是说别人文献也这么说的
[02:21.68 - 02:22.92] 这就算事实支撑了
[02:22.92 - 02:24.86] 或者网上报导都这么说
[02:24.86 - 02:26.50] 这就算事实支撑了
[02:26.50 - 02:28.72] 这些都还不算真正的事实支撑
[02:28.72 - 02:31.02] 你还得通过低性原理的思考
[02:31.02 - 02:32.72] 判断是不是真的这样
[02:32.72 - 02:34.34] 因为万一文献说错了
[02:34.34 - 02:36.12] 或者万一报导是错的
[02:36.50 - 02:37.96] 而且上下两半水
[02:37.96 - 02:39.12] 左右都是理
[02:39.12 - 02:41.32] 你会发现任何观点的证反面
[02:41.32 - 02:42.24] 其实都有报导
[02:42.24 - 02:44.46] 所以你如果要基于文献报导
[02:44.46 - 02:45.48] 或者网上报导
[02:45.48 - 02:48.04] 那你会发现证反观点全部都有
[02:48.04 - 02:50.14] 比如你说吃辣椒队身体不好
[02:50.14 - 02:51.34] 你赢了一堆文献
[02:51.34 - 02:53.98] 但另一个人就同样可以给你赢一堆文献
[02:53.98 - 02:56.12] 跟你说吃辣椒队身体有好处
[02:56.50 - 02:58.14] 所以当年引出观点
[02:58.14 - 03:00.34] 尤其涉及对某个东西的缺点描述
[03:00.34 - 03:03.12] 一定要自己基于真实世界的低性原理
[03:03.12 - 03:04.60] 去思考是否如此
[03:04.60 - 03:06.96] 这种基于真实世界的低性原理
[03:06.96 - 03:08.66] 是我们在整个论文赚写
[03:08.66 - 03:10.34] 哪只你整个研究生涯中
[03:10.34 - 03:12.18] 都要反复使用到的一种能力
[03:12.18 - 03:14.10] 我将其命名为原则时
[03:14.10 - 03:17.02] 我们就用原则时的方法来看看是否如此
[03:17.02 - 03:20.06] 第一点说了水系电池的工作电压相对较低
[03:20.06 - 03:21.70] 导致具有低的能量密度
[03:21.70 - 03:24.84] 那么我们就从真实世界里面找水系电池看一看
[03:24.84 - 03:26.24] 看看是不是真的这样
[03:26.24 - 03:28.16] 如果你奇过注重车的话
[03:28.16 - 03:30.28] 目前注重车里面用的最多的
[03:30.28 - 03:31.46] 就是千酸电池
[03:31.46 - 03:34.08] 那千酸电池确实能量密度较低
[03:34.08 - 03:35.94] 然后它的电压确实也不高
[03:35.94 - 03:37.92] 这些数据你不清楚的话
[03:37.92 - 03:39.36] 问问豆包就知道了
[03:39.36 - 03:40.64] 一般电压是两幅左右
[03:40.64 - 03:43.10] 能量密度是40W是美公经左右
[03:43.10 - 03:44.14] 当然有人会问
[03:44.14 - 03:46.60] 我怎么知道豆包给出的数据是否属实
[03:46.60 - 03:49.74] 这个其实你如果有怀疑或者不敢相信的话
[03:49.74 - 03:52.66] 继续启动真实世界的低性原理思考就行了
[03:52.66 - 03:55.44] 比如你直接在逃跑上搜千酸电池
