[00:00.00 - 00:01.06] 继续看第二段
[00:01.06 - 00:02.94] 第二段出现了Displayed
[00:02.94 - 00:03.54] 你就知道
[00:03.54 - 00:05.38] 要开始讲真正的地灵上位
[00:05.38 - 00:06.80] 也就是柔性固态
[00:06.80 - 00:09.14] 可充电心空气电池的问题了
[00:09.14 - 00:10.14] 虽然这个句子中
[00:10.14 - 00:11.92] 只出现固态心空气电池
[00:11.92 - 00:13.32] 但我们先前说过
[00:13.32 - 00:15.14] 这是省略了不必要的修饰
[00:15.14 - 00:17.10] 因为即使省略这些修饰
[00:17.10 - 00:18.00] 读者也明白
[00:18.00 - 00:19.12] 我们在讲什么东西
[00:19.12 - 00:20.48] 作者的前半句话
[00:20.48 - 00:22.64] 肯定了固态心空气电池的竞展
[00:22.64 - 00:25.28] 之后当你看到Several Cushal Issues
[00:25.28 - 00:28.72] 就知道要讲这个领域目前存在的几个重要的挑战了
[00:28.72 - 00:29.58] 下面两句话
[00:29.58 - 00:31.94] 你看到First第一和Second第二
[00:31.94 - 00:34.50] 就知道是对这个挑战的具体展开了
[00:34.50 - 00:35.50] 当些挑战的时候
[00:35.50 - 00:37.12] 一定要记得原则五
[00:37.12 - 00:38.16] 具具有关联
[00:38.16 - 00:41.76] 你的挑战肯定是你要在一定程度上解决的
[00:41.76 - 00:42.66] 以及原则八
[00:42.66 - 00:44.78] 当指出同行工作缺点的时候
[00:44.78 - 00:47.60] 确认是否中立、客观、有事实之称
[00:47.60 - 00:50.20] 或者可以通过低性原理的思考之称
[00:50.20 - 00:50.86] 此外
[00:50.86 - 00:53.06] 还要避免原则11的前后打脸
[00:53.06 - 00:54.70] 因为你之前刚刚跨了
[00:54.70 - 00:55.90] 西芬领域取得的竞展
[00:55.90 - 00:57.14] 所以这里指出
[00:57.14 - 00:59.42] 西芬领域目前还存在的挑战的时候
[00:59.42 - 01:01.50] 不要和之前的竞展描述冲突
[01:01.50 - 01:04.30] 作者的这两句话都符合这些原则的
[01:04.30 - 01:06.12] 所以不再详细讲解了
[01:06.12 - 01:07.38] 既然你指出了问题
[01:07.38 - 01:10.02] 全世界不可能只有你一个人研究的
[01:10.02 - 01:12.56] 所以同行肯定也针对这些问题进行了研究
[01:12.56 - 01:15.26] 当你看到下一句针对解决这些问题
[01:15.26 - 01:16.74] 大量的研究工作等
[01:16.74 - 01:18.10] 就知道要开始说
[01:18.10 - 01:19.64] 已有文线工作的竞展了
[01:19.64 - 01:22.06] 所以这里就开始文线点评不分了
[01:22.06 - 01:24.72] 作者这里不是林林星星点评文线的
[01:24.72 - 01:27.96] 它是首先把西芬领域的文线都做了个规难
[01:27.96 - 01:32.36] 然后发现大量的文线都在发展双功能的空气推化电击
[01:32.36 - 01:36.58] 所以这句话写的就是在发展双功能空气推化电击方面
[01:36.58 - 01:38.60] 研究学者付出了大量的努力
[01:38.60 - 01:40.28] 这句话讲得更值白点
[01:40.28 - 01:42.58] 就是大部分文线在做A这个事情
[01:42.58 - 01:45.92] 下一句话你看到HOWEVER就知道要说
[01:45.92 - 01:47.30] 已有文线的问题了
[01:47.30 - 01:50.20] 这里同样要注意之前反复提及的极大原则
[01:50.20 - 01:54.10] 比如你可以看到这里的表述讲的还是比较违反中立的
[01:54.10 - 01:57.92] 他说的是如果不把这个期间作为一个整体来忧化的话
[01:57.92 - 01:59.86] 以上问题不能被充分解决
[01:59.86 - 02:01.20] 这是没毛病的
[02:01.20 - 02:03.68] 就是你光忧化期间中孤立的一个部件
[02:03.68 - 02:06.08] 还没有办法完全解决上面提到的问题
[02:06.08 - 02:09.28] 因为上面的问题是和整个期间的问题相关的
[02:09.28 - 02:10.98] 这句话是高度概括的
[02:10.98 - 02:13.22] 考虑到独者可能会看著有些抽象
