[00:00.00 - 00:02.40] 如果你参加过我们其他的AI训练营
[00:02.40 - 00:06.00] 就会知道在AI时代神媒会变得越来越重要
[00:06.00 - 00:08.74] 因为AI的语言组织能力是非常强的
[00:08.74 - 00:12.98] 由AI生成的文字往往不存在明显的逻辑漏洞和娱法错误
[00:12.98 - 00:15.10] 所以,如果你没有基本的神媒
[00:15.10 - 00:18.28] 你根本无从判断AI生成的文字到底对不对
[00:18.28 - 00:20.94] 你发文章的时候到底能不能用这些文字
[00:20.94 - 00:24.30] 到底是不是达到了你要投稿的期间的表达规范
[00:24.30 - 00:26.02] 甚至你都无从下手
[00:26.02 - 00:28.76] 看不懂也不知道怎么去利用AI的文字
[00:28.76 - 00:33.86] 最后往往就只能小修小改调调语训换换同意表达之类的
[00:33.86 - 00:35.94] 这样就变成AI代写论文了
[00:35.94 - 00:38.74] 构成了学术不端或者触犯了AI使用伦理
[00:38.74 - 00:43.14] 相应的你文章的AI生成率也就是AIGC率会特别高
[00:43.14 - 00:45.10] 也很难通过很多期间的检测
[00:45.50 - 00:47.86] 所以首先我需要通过一系列的训练
[00:47.86 - 00:49.36] 培养你的人工神媒
[00:49.36 - 00:52.98] 你大概要知道在没有大规模利用大语言模型的时代
[00:52.98 - 00:56.92] 这些发在顶看上的论文是以什么样的方式组织文字的
[00:56.92 - 00:58.10] 等我铺西玩后
[00:58.10 - 01:02.62] 你会发现几乎所有的论文都是以相似的方式进行组织的
[01:02.62 - 01:05.66] 一旦你学会了这些文字组织背后的底层逻辑
[01:05.66 - 01:09.24] 接著你就知道如何利用AI给你生成的文字素材
[01:09.24 - 01:12.68] 并完全通过自己的语言从零写出一篇地道的论文
[01:13.12 - 01:16.06] 这样你也不再需要纠结AI生成率的问题了
[01:16.06 - 01:19.20] 因为本质上这篇论文就完全是你自己写的
[01:19.20 - 01:21.16] 我们也是首先进入具体的案例
[01:21.16 - 01:22.52] 这里需要注意的是
[01:22.52 - 01:24.18] 虽然你不是这个学科的
[01:24.18 - 01:26.22] 但是你也可以通过这个案例的学习
[01:26.22 - 01:28.42] 把它签以到你自己的学科中
[01:28.42 - 01:31.12] 你会发现你自己的学科也会有这样的特点
[01:31.12 - 01:34.36] 如果你发现你手头的哪个范文不具备这样的特点
[01:34.36 - 01:35.82] 那么你可以像我反馈
[01:35.82 - 01:37.64] 把这个论文提交给我看一下
[01:37.64 - 01:41.14] 我们先来看大家觉得最极守最难写的前言部分
[01:41.14 - 01:43.28] 我这里会以句子作为科例度
[01:43.28 - 01:44.80] 一句一句的帮大家过
[01:44.80 - 01:48.14] 告诉大家为什么作者在这里会放上这么一个句子
[01:48.14 - 01:51.14] 你现在不需要考虑这个句子是怎么写出来的
[01:51.14 - 01:53.16] 你也不用纠结自己的语法不行
[01:53.16 - 01:54.00] 英语不行
[01:54.00 - 01:55.40] 写不出这样的句子
[01:55.40 - 01:58.00] 或者没思路想不到要写这样的句子
[01:58.00 - 01:59.42] 你完全不用纠结
[01:59.42 - 02:02.96] 你现在要做的就是当一个范本呈现给你的时候
[02:02.96 - 02:04.84] 你能看明白范本的结构
[02:04.84 - 02:07.34] 知道作者为什么第一句话放这个内容
[02:07.34 - 02:09.00] 第一段话放这个内容
[02:09.00 - 02:10.98] 你只要知道这个新闻逻辑
[02:10.98 - 02:13.90] 也就是这个句子被这么安排的目的就行了
[02:13.90 - 02:16.20] 首先你要对这个题目会进行分析
[02:16.20 - 02:19.42] 刚开始你可以在题目中去到一些借词
[02:19.42 - 02:21.06] 修饰性的形容词
[02:21.06 - 02:23.24] 以及其他不体现实体意义的词会
[02:23.24 - 02:27.32] 这样你可以更快偷袭出来这个题目的主要研究对象是什么
[02:27.32 - 02:28.82] 比如按照这种方式
[02:28.82 - 02:30.26] 你就能够观察得到
[02:30.26 - 02:33.76] 这个题目讲的是一个可充放电的随细新闻电池
[02:33.76 - 02:35.28] 然后这个新闻电池
[02:35.28 - 02:36.92] 它有一些形容词修饰
[02:36.92 - 02:39.06] Stable and High Energy rechargeable
[02:39.06 - 02:42.74] 表明是稳定的高能量密度的可充放电的新闻电池
[02:42.74 - 02:43.76] 意思就是
[02:43.76 - 02:46.56] 作者的贡献是把这个新闻电池的稳定性
[02:46.56 - 02:48.08] 和能量密度提高了
[02:48.08 - 02:49.74] 这不是个普通的新闻电池
[02:49.74 - 02:51.78] 那作者是怎么实现这点的
[02:51.78 - 02:54.18] 看到Towards面向你就知道了
[02:54.18 - 02:56.48] 这个附近就是要讲怎么实现的了
[02:56.48 - 02:59.02] 来看Towards之前的Decupling ElectroLights
[02:59.02 - 03:00.46] 集结有电节制
[03:00.46 - 03:02.94] 你就得知作者是通过解有电节制
[03:02.94 - 03:04.60] 来实现这种稳定的
[03:04.60 - 03:07.96] 具有高能量密度的可充放电的随细新闻电池
[03:08.40 - 03:10.88] 如果你看不懂这些专用名词不用纠结
[03:10.88 - 03:12.30] 不影响你之后的讯号
[03:12.30 - 03:14.10] 如果你想现在就搞明白
[03:14.10 - 03:16.28] 这些专用名词到底是什么意思
[03:16.28 - 03:19.12] 你只需要把你不懂的专用名词发给豆包
[03:19.12 - 03:20.68] 让它给你解释就行
[03:20.68 - 03:22.66] 包括你如果看不懂这个题目
[03:22.66 - 03:24.10] 也可以直接发给豆包
[03:24.10 - 03:25.50] 如下图所识
[03:25.50 - 03:28.60] 豆包会给你解释这个题目的中文和专业数语
[03:28.60 - 03:31.16] 如果某个数语你需要进一步理解含义
[03:31.16 - 03:32.80] 你也可以继续追问豆包
[03:32.80 - 03:34.74] 但这不是本词讯练的重点
[03:34.74 - 03:36.32] 因此不再详细展开
[03:37.00 - 03:38.82] 当然AI针对专用名词的翻译
[03:38.82 - 03:39.94] 有时候不够准确
[03:40.28 - 03:43.12] 所以你也可以只是在输入框中输入这个题目
[03:43.12 - 03:45.36] 如果网络上有关于这篇文章的报导
[03:45.36 - 03:47.96] 那么AI会给你更为准确的一些输出
[03:47.96 - 03:49.38] 大致明白了题目
[03:49.38 - 03:51.88] 也就是大概明白了作者要干什么之后
[03:51.88 - 03:53.00] 接下来看前眼
[03:53.00 - 03:55.00] 我会结合范文的第一句话
[03:55.00 - 03:57.62] 逐步引出和格前眼的五个写作原则
[03:57.62 - 03:59.70] 我们来看范文的第一句话
[03:59.70 - 04:01.10] 第一句话引出了
[04:01.10 - 04:02.30] 发展大规模储能
[04:02.30 - 04:05.12] 电动车和消费电子需要高安全性
[04:05.12 - 04:06.16] 环境友好
[04:06.16 - 04:08.22] 低成本和高能量密度的电池
[04:08.22 - 04:10.20] 现在的AI翻译都特别发达
[04:10.20 - 04:11.72] 如果你看不懂这段英文
[04:11.72 - 04:14.00] 直接让AI帮你翻译成中文就行了
[04:14.00 - 04:15.26] 范成中文之后
[04:15.26 - 04:17.14] 你会发现就是我讲的这个意思
[04:17.14 - 04:18.40] 为方便你使用
